module,modinfo_name,path,subsystem,in_modules_load,source_built_override,n_versions,n_kmi_pure,n_kmi_extended,n_vendor_internal_resolved,n_vendor_internal_missing,n_crc_mismatch,module_layout_status,verdict,secondary_verdict,sample_failing
adsp_loader_dlkm,adsp_loader_dlkm,device/oneplus/infiniti-kernel/adsp_loader_dlkm.ko,audio,1,0,45,0,0,0,2,43,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_printk=crc(16b5b21d!=92997ed8);mutex_lock=crc(995658e3!=d5977bfb);ktime_get=crc(ff9a6e5c!=b43f9365);mutex_unlock=crc(995658e3!=ed55cabd);_dev_err=crc(6b10178d!=89c10d29);rproc_shutdown=crc(bef187d1!=e161cbad);system_wq=crc(571c73d5!=2d3385d3);queue_work_on=crc(8f4cd990!=c5b6f236)
adsp_sleepmon,adsp_sleepmon,device/oneplus/infiniti-kernel/adsp_sleepmon.ko,audio,1,0,71,0,0,0,0,71,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_printk=crc(16b5b21d!=92997ed8);arch_timer_read_counter=crc(36e9bb71!=75fb9062);wait_for_completion=crc(7da92691!=25974000);mutex_lock=crc(995658e3!=d5977bfb);rpmsg_send=crc(9023b26d!=19ecfe44);mutex_unlock=crc(995658e3!=ed55cabd);__stack_chk_fail=crc(d272d446!=f0fdf6cb);__platform_driver_register=crc(26d0cf2d!=dda9df08)
altmode-glink,altmode_glink,device/oneplus/infiniti-kernel/altmode-glink.ko,misc,1,0,42,0,0,0,3,39,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__of_parse_phandle_with_args=crc(e99699d5!=64cc5fec);mutex_lock=crc(995658e3!=d5977bfb);of_find_device_by_node=crc(65e45ac5!=e3dc67df);mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);kmalloc_caches=crc(d6ce5659!=559b0832);__kmalloc_cache_noprof=crc(6cc46e45!=57abd7cf);mutex_unlock=crc(995658e3!=ed55cabd);_dev_err=crc(6b10178d!=89c10d29)
arm_smmu,arm_smmu,device/oneplus/infiniti-kernel/arm_smmu.ko,misc,0,0,151,0,0,0,0,151,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_dev_warn=crc(6b10178d!=4860eb3f);of_find_property=crc(9a0c7532!=4d1675b6);of_device_is_compatible=crc(c993f0e5!=9be608c5);devm_krealloc=crc(93eb68a1!=bd19507a);log_read_mmio=crc(f5e9ca2e!=6b722180);log_post_read_mmio=crc(ec62c96b!=0c1a5ee3);log_write_mmio=crc(295b83ed!=c905402b);log_post_write_mmio=crc(295b83ed!=fa4d3c24)
arm_smmu_pmu,arm_smmu_pmu,device/oneplus/infiniti-kernel/arm_smmu_pmu.ko,misc,0,0,35,0,0,0,0,35,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,scnprintf=crc(f4386284!=96848186);__cpuhp_setup_state=crc(d96d6f98!=b66eb73f);__platform_driver_register=crc(26d0cf2d!=dda9df08);platform_driver_unregister=crc(8af50346!=3af3024b);__cpu_online_mask=crc(4e994f70!=ac594e02);nr_cpu_ids=crc(f296206e!=017de3d5);perf_pmu_migrate_context=crc(66c30a1b!=7d535484);cpu_bit_bitmap=crc(6bbc9298!=62ad2053)
atmel_mxt_ts,atmel_mxt_ts,device/oneplus/infiniti-kernel/atmel_mxt_ts.ko,misc,0,0,78,0,0,0,0,78,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,i2c_register_driver=crc(6f0760fb!=b84054a9);i2c_del_driver=crc(ef821497!=938a618b);device_property_present=crc(a83605e2!=892b3546);of_count_phandle_with_args=crc(8144ad5b!=a0ad1501);__of_parse_phandle_with_args=crc(e99699d5!=64cc5fec);of_drm_find_panel=crc(daefb31f!=59de7083);of_property_read_string=crc(fc9f25c0!=27bdd89b);strlen=crc(90d19584!=98cf60b3)
audio_pkt_dlkm,audio_pkt_dlkm,device/oneplus/infiniti-kernel/audio_pkt_dlkm.ko,audio,1,0,60,0,0,0,12,48,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,ipc_log_string=missing;_raw_spin_lock_irqsave=crc(aa615763!=34db050b);__wake_up=crc(f7c60e8b!=e2964344);_raw_spin_unlock_irqrestore=crc(582af1c8!=d35cce70);spf_core_apm_close_all=missing;msm_audio_ion_crash_handler=missing;skb_dequeue=crc(f88e9e04!=1232da58);sk_skb_reason_drop=crc(3334991b!=88ec2462)
audio_prm_dlkm,audio_prm_dlkm,device/oneplus/infiniti-kernel/audio_prm_dlkm.ko,audio,1,0,34,0,0,0,11,23,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);kmalloc_caches=crc(d6ce5659!=559b0832);__kmalloc_cache_noprof=crc(6cc46e45!=57abd7cf);kfree=crc(31359e90!=037a0cba);mutex_lock=crc(995658e3!=d5977bfb);gpr_get_q6_state=missing;gpr_send_pkt=missing;init_wait_entry=crc(6668f05d!=fe487975)
audpkt_ion_dlkm,audpkt_ion_dlkm,device/oneplus/infiniti-kernel/audpkt_ion_dlkm.ko,misc,1,0,48,0,0,0,3,45,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,mutex_lock=crc(995658e3!=d5977bfb);_printk=crc(16b5b21d!=92997ed8);mutex_unlock=crc(995658e3!=ed55cabd);__list_add_valid_or_report=crc(6fabd45b!=7e19152a);kfree=crc(31359e90!=037a0cba);__list_del_entry_valid_or_report=crc(802f8919!=9a835040);qcom_scm_assign_mem=crc(ad9b4ffa!=cdaced8a);__stack_chk_fail=crc(d272d446!=f0fdf6cb)
bam_dma,bam_dma,device/oneplus/infiniti-kernel/bam_dma.ko,misc,1,0,82,0,0,0,3,79,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,strlen=crc(90d19584!=98cf60b3);trace_event_buffer_reserve=crc(40964d00!=ef09c050);memcpy=crc(8a7493b2!=4829a47e);vsnprintf=crc(78dfe782!=00148653);trace_event_buffer_commit=crc(ffe3783c!=f95e6f0d);__trace_trigger_soft_disabled=crc(cb5e01d7!=dd84a68a);__stack_chk_fail=crc(d272d446!=f0fdf6cb);perf_trace_buf_alloc=crc(231ad1b8!=2d2c902f)
bcl_pmic5,bcl_pmic5,device/oneplus/infiniti-kernel/bcl_pmic5.ko,regulator-pmic,0,0,64,0,0,0,2,62,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,trace_event_buffer_reserve=crc(40964d00!=ef09c050);trace_event_buffer_commit=crc(ffe3783c!=f95e6f0d);__trace_trigger_soft_disabled=crc(cb5e01d7!=dd84a68a);__stack_chk_fail=crc(d272d446!=f0fdf6cb);perf_trace_buf_alloc=crc(231ad1b8!=2d2c902f);perf_trace_run_bpf_submit=crc(2a290ade!=1c86eaa7);bpf_trace_run5=crc(df495bd0!=92d33301);blocking_notifier_chain_register=crc(bde3e279!=bb0c86a5)
bcl_soc,bcl_soc,device/oneplus/infiniti-kernel/bcl_soc.ko,misc,1,0,20,0,0,0,0,20,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__platform_driver_register=crc(26d0cf2d!=dda9df08);platform_driver_unregister=crc(8af50346!=3af3024b);devm_kmalloc=crc(d1263f9d!=9601551a);__mutex_init=crc(81d49dc6!=a571f6b0);power_supply_reg_notifier=crc(0a227d4d!=136209db);devm_thermal_of_zone_register=crc(0a45cfe3!=ed298013);thermal_zone_device_update=crc(defb5df8!=6f6e51f7);system_wq=crc(571c73d5!=2d3385d3)
boot_stats,boot_stats,device/oneplus/infiniti-kernel/boot_stats.ko,misc,1,0,9,0,0,0,0,9,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,of_find_compatible_node=crc(730d7351!=9420f854);of_iomap=crc(e2ff4068!=1e39818e);of_property_read_variable_u32_array=crc(5de0294f!=e46d1c95);__of_get_address=crc(c07a2e81!=d3aef5db);_printk=crc(16b5b21d!=92997ed8);iounmap=crc(fbb66790!=edc03953);log_read_mmio=crc(f5e9ca2e!=6b722180);log_post_read_mmio=crc(ec62c96b!=0c1a5ee3)
bt_fm_swr,bt_fm_swr,device/oneplus/infiniti-kernel/bt_fm_swr.ko,bt,1,0,25,0,0,0,9,16,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_printk=crc(16b5b21d!=92997ed8);btpower_get_chipset_version=missing;swr_get_logical_dev_num=missing;usleep_range_state=crc(fdbae8c6!=c3055d20);__stack_chk_fail=crc(d272d446!=f0fdf6cb);swr_connect_port=missing;swr_slvdev_datapath_control=missing;swr_disconnect_port=missing
btfm_slim_codec,btfm_slim_codec,device/oneplus/infiniti-kernel/btfm_slim_codec.ko,bt,1,0,38,0,0,0,4,34,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_printk=crc(16b5b21d!=92997ed8);mutex_lock=crc(995658e3!=d5977bfb);slim_writeb=crc(b1140fe5!=ed6f39be);mutex_unlock=crc(995658e3!=ed55cabd);usleep_range_state=crc(fdbae8c6!=c3055d20);slim_readb=crc(79492c62!=17fab45f);slim_stream_allocate=crc(02c5c827!=ad8b60e0);mem_alloc_profiling_key=crc(8ee1928d!=0f05f001)
btfmcodec,btfmcodec,device/oneplus/infiniti-kernel/btfmcodec.ko,bt,1,0,64,0,0,0,1,63,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_raw_spin_lock_irqsave=crc(aa615763!=34db050b);__alloc_skb=crc(f9414958!=8a292505);skb_put=crc(7624f2c2!=07d30eb0);memcpy=crc(8a7493b2!=4829a47e);skb_queue_tail=crc(9e3cda57!=924af11d);__wake_up=crc(f7c60e8b!=e2964344);_raw_spin_unlock_irqrestore=crc(582af1c8!=d35cce70);_printk=crc(16b5b21d!=92997ed8)
btpower,btpower,device/oneplus/infiniti-kernel/btpower.ko,bt,1,0,96,0,0,0,1,95,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_printk=crc(16b5b21d!=92997ed8);mutex_lock=crc(995658e3!=d5977bfb);mutex_unlock=crc(995658e3!=ed55cabd);regulator_set_voltage=crc(0eecf958!=b661fae9);regulator_set_load=crc(bd7848fe!=5c7e8eae);regulator_enable=crc(3d3e5d40!=a76379ed);regulator_get_voltage=crc(3d3e5d40!=d7e60d1a);gpio_free=crc(ebe5da4a!=fe990052)
bwmon,bwmon,device/oneplus/infiniti-kernel/bwmon.ko,misc,1,0,65,0,0,0,11,54,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__platform_driver_register=crc(26d0cf2d!=dda9df08);platform_driver_unregister=crc(8af50346!=3af3024b);devm_kmalloc=crc(d1263f9d!=9601551a);of_device_get_match_data=crc(be4e2011!=218d268b);of_find_property=crc(9a0c7532!=4d1675b6);platform_get_resource_byname=crc(cc1c0f0f!=ddf84c88);arm64_use_ng_mappings=crc(3239fbdb!=af56600a);ioremap_prot=crc(c948ac44!=40863ba1)
cambistmclkcc-canoe,cambistmclkcc_canoe,device/oneplus/infiniti-kernel/cambistmclkcc-canoe.ko,misc,0,0,25,0,0,0,0,25,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__platform_driver_register=crc(26d0cf2d!=dda9df08);platform_driver_unregister=crc(8af50346!=3af3024b);qcom_cc_map=crc(60e78d81!=24dcedd6);qcom_cc_runtime_init=crc(40df0093!=b1f1f487);__pm_runtime_resume=crc(cc47d0a5!=0f14191c);of_get_property=crc(25eb83ce!=97bbda8e);strcmp=crc(f5df0401!=e2d5255a);clk_rivian_evo_pll_configure=crc(0d118103!=d8adda42)
camcc-alor,camcc_alor,device/oneplus/infiniti-kernel/camcc-alor.ko,misc,0,0,29,0,0,0,0,29,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__platform_driver_register=crc(26d0cf2d!=dda9df08);platform_driver_unregister=crc(8af50346!=3af3024b);qcom_cc_map=crc(60e78d81!=24dcedd6);qcom_cc_runtime_init=crc(40df0093!=b1f1f487);__pm_runtime_resume=crc(cc47d0a5!=0f14191c);alt_cb_patch_nops=crc(b8c8345a!=a65c6def);clk_lucid_evo_pll_configure=crc(0d118103!=e9ea1362);regmap_update_bits_base=crc(807ee877!=1ac5d5d4)
